title,text,label
"Local council approves new public library","The city council voted on Tuesday to approve funding for a new public library downtown. Construction is expected to begin later this year after final design reviews.",real
"National weather service warns of heavy rainfall","Meteorologists issued a warning for severe rainfall across several provinces this weekend and advised residents in flood-prone areas to prepare accordingly.",real
"University launches scholarship for engineering students","A public university announced a new scholarship program aimed at first-generation engineering students starting next semester.",real
"Health department expands vaccination campaign","Officials confirmed that mobile clinics will visit rural communities over the next month to improve vaccine access.",real
"Transit agency adds late-night train routes","The regional transit authority published a revised schedule that adds late-night service on two busy commuter lines.",real
"Research team develops low-cost water filter","Engineers reported promising lab results from a new low-cost water filtration design intended for remote communities.",real
"Celebrity reveals secret alien government takeover","A viral post claims that a celebrity exposed a hidden alien government controlling elections worldwide without offering any evidence.",fake
"Miracle fruit cures every known disease overnight","Social media users shared a fabricated story saying a miracle fruit can cure every disease instantly and replace all hospitals.",fake
"Secret law bans speaking after sunset","A made-up article alleges that a secret law now prevents citizens from speaking after sunset in major cities.",fake
"Scientists confirm the moon is made of cheese again","An obviously false article claims international scientists have reconfirmed that the moon is made entirely of cheese.",fake
"Ancient dragon found alive beneath shopping mall","A fabricated report says construction workers uncovered a living dragon under a shopping mall parking lot.",fake
"Government to replace rain with scheduled cloud deliveries","A satirical-style post falsely states that natural rain has been replaced by scheduled cloud deliveries controlled by officials.",fake

