text,label
"Hey, are we still meeting at 3 pm today?",ham
"Your invoice for March is attached. Please review it.",ham
"Can you send the project update before lunch?",ham
"Thank you for your purchase. Your order is being processed.",ham
"Please find the notes from today's meeting below.",ham
"Reminder: your dentist appointment is tomorrow at 10 am.",ham
"Let's catch up this weekend if you are free.",ham
"The server maintenance window starts tonight at 11 pm.",ham
"I shared the presentation slides with the team.",ham
"Please approve the leave request in the HR portal.",ham
"Win a brand new phone now. Claim your reward immediately.",spam
"Limited-time offer. Buy now and get 90 percent off.",spam
"Congratulations, you have been selected for a cash prize.",spam
"URGENT: verify your account details to avoid suspension.",spam
"Earn money fast from home with no experience required.",spam
"You have won a free vacation. Click the link to confirm.",spam
"Claim your gift card before midnight using this special code.",spam
"Act now to receive your exclusive bonus and free trial.",spam
"This is your final notice to collect your guaranteed winnings.",spam
"Lowest loan rates available today. Apply in one minute.",spam

